"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2002-08-19",950.700012,1299800000,0.0230672049260477,-0.00159348382067711,0.011427041117979,1802957333.33333,0.0265425450069241,-0.189520271872283,-0.019068500431865,889.781001866667,38.1130192000001,-533810666.666667,"Up"
"2002-08-20",937.429993,1308500000,-0.0141557440012484,0.0230672049260477,-0.00159348382067711,1801610666.66667,0.00664883454337027,0.0265425450069241,-0.189520271872283,889.267667733333,60.9190101333334,-503157333.333333,"Down"
"2002-08-21",949.359985,1353100000,0.012566352267312,-0.0141557440012484,0.0230672049260477,1786150666.66667,0.0329613480156677,0.00664883454337027,0.0265425450069241,890.2306682,48.1623252666666,-493110666.666667,"Up"
"2002-08-22",962.700012,1.373e+09,0.0138568887854132,0.012566352267312,-0.0141557440012484,1762568000,0.0144938091769847,0.0329613480156677,0.00664883454337027,891.408335433333,59.1293168000001,-433050666.666667,"Up"
"2002-08-23",940.859985,1071500000,-0.0232128343730124,0.0138568887854132,0.012566352267312,1744704666.66667,-0.281381241250583,0.0144938091769847,0.0329613480156677,892.057334433333,71.2916765666668,-389568000,"Down"
"2002-08-26",947.950012,1016900000,0.00747932581913398,-0.0232128343730124,0.0138568887854132,1692774666.66667,-0.0536925951420985,-0.281381241250583,0.0144938091769847,893.058001733333,48.8026505666667,-673204666.666667,"Up"
"2002-08-27",934.820007,1307700000,-0.0140454899356898,0.00747932581913398,-0.0232128343730124,1674908000,0.222375162499044,-0.0536925951420985,-0.281381241250583,894.187335233333,54.8920102666666,-675874666.666667,"Down"
"2002-08-28",917.869995,1146600000,-0.0184666805673281,-0.0140454899356898,0.00747932581913398,1627578000,-0.140502354788069,0.222375162499044,-0.0536925951420985,894.581669133333,40.6326717666667,-367208000,"Down"
"2002-08-29",917.799988,1271100000,-7.627696765674e-05,-0.0184666805673281,-0.0140454899356898,1612071333.33333,0.0979466603729054,-0.140502354788069,0.222375162499044,895.7896688,23.2883258666667,-480978000,"Down"
"2002-08-30",916.070007,929900000,-0.00188848121516978,-7.627696765674e-05,-0.0184666805673281,1554598000,-0.366921174319819,0.0979466603729054,-0.140502354788069,898.067002366667,22.0103191999999,-340971333.333333,"Down"
